GAME,DATE,SITE,TEAM1,SCORE1,SCORE2,TEAM2
3,"Jan. 12, 1969",Orange Bowl (Miami),New York Jets,16,7,Baltimore
4,"Jan. 11, 1970",Tulane Stadium (New Orleans),Kansas City,23,7,Minnesota
5,"Jan. 17, 1971",Orange Bowl (Miami),Baltimore,16,13,Dallas
6,"Jan. 16, 1972",Tulane Stadium (New Orleans),Dallas,24,3,Miami
7,"Jan. 14, 1973",Los Angeles Memorial Coliseum,Miami,14,7,Washington
8,"Jan. 13, 1974",Rice Stadium (Houston),Miami,24,7,Minnesota
9,"Jan. 12, 1975",Tulane Stadium (New Orleans),Pittsburgh,16,6,Minnesota
10,"Jan. 18, 1976",Orange Bowl (Miami),Pittsburgh,21,17,Dallas
11,"Jan. 9, 1977","Rose Bowl (Pasadena, Calif.)",Oakland,32,14,Minnesota
12,"Jan. 15, 1978",Superdome (New Orleans),Dallas,27,10,Denver
13,"Jan. 21, 1979",Orange Bowl (Miami),Pittsburgh,35,31,Dallas
14,"Jan. 20, 1980","Rose Bowl (Pasadena, Calif.)",Pittsburgh,31,19,Los Angeles Rams
15,"Jan. 25, 1981",Superdome (New Orleans),Oakland,27,10,Philadelphia
16,"Jan. 24, 1982","Silverdome (Pontiac, Mich.)",San Francisco,26,21,Cincinnati
17,"Jan. 30, 1983","Rose Bowl (Pasadena, Calif.)",Washington,27,17,Miami
18,"Jan. 22, 1984",Tampa (Fla.) Stadium,Los Angeles Raiders,38,9,Washington
19,"Jan. 20, 1985",Stanford (Calif.) Stadium,San Francisco,38,16,Miami
20,"Jan. 26, 1986",Superdome (New Orleans),Chicago,46,10,New England
21,"Jan. 25, 1987","Rose Bowl (Pasadena, Calif.)",New York Giants,39,20,Denver
22,"Jan. 31, 1988",Jack Murphy Stadium (San Diego),Washington,42,10,Denver
23,"Jan. 22, 1989",Joe Robbie Stadium (Miami),San Francisco,20,16,Cincinnati
24,"Jan. 28, 1990",Superdome (New Orleans),San Francisco,55,10,Denver
25,"Jan. 27, 1991",Tampa (Fla.) Stadium,New York Giants,20,19,Buffalo
26,"Jan. 26, 1992",Metrodome (Minneapolis),Washington,37,24,Buffalo
27,"Jan. 31, 1993","Rose Bowl (Pasadena, Calif.)",Dallas,52,17,Buffalo
28,"Jan. 30, 1994",Georgia Dome (Atlanta),Dallas,30,13,Buffalo
29,"Jan. 29, 1995",Joe Robbie Stadium (Miami),San Francisco,49,26,San Diego
30,"Jan. 28, 1996","Sun Devil Stadium (Tempe, Ariz.)",Dallas,27,17,Pittsburgh
31,"Jan. 26, 1997",Superdome (New Orleans),Green Bay,35,21,New England
32,"Jan. 25, 1998",Qualcomm Stadium (San Diego),Denver,31,24,Green Bay
33,"Jan. 31, 1999",Pro Player Stadium (Miami),Denver,34,19,Atlanta
34,"Jan. 30, 2000",Georgia Dome (Atlanta),St. Louis,23,16,Tennessee
35,"Jan. 28, 2001","Raymond James Stadium (Tampa, Fla.)",Baltimore,34,7,New York Giants
36,"Feb. 3, 2002",Superdome (New Orleans),New England,20,17,St. Louis
37,"Jan. 26, 2003",Qualcomm Stadium (San Diego),Tampa Bay,48,21,Oakland
38,"Feb. 1, 2004",Reliant Stadium (Houston),New England,32,29,Carolina
39,"Feb. 6, 2005","Alltel Stadium (Jacksonville, Fla.)",New England,24,21,Philadelphia
40,"Feb. 5, 2006",Ford Field (Detroit),Pittsburgh,21,10,Seattle
41,"Feb. 4, 2007",Dolphin Stadium (Miami),Indianapolis,29,17,Chicago
42,"Feb. 3, 2008","University of Phoenix Stadium (Glendale, Ariz.)",New York Giants,17,14,New England
43,"Feb. 1, 2009","Raymond James Stadium (Tampa, Fla.)",Pittsburgh,27,23,Arizona
44,"Feb. 7, 2010",Sun Life Stadium (Miami),New Orleans,31,17,Indianapolis
45,"Feb. 6, 2011","Cowboys Stadium (Arlington, Texas)",Green Bay,31,25,Pittsburgh
46,"Feb. 5, 2012",Lucas Oil Stadium (Indianapolis),New York Giants,21,17,New England
47,"Feb. 3, 2013",Mercedes-Benz Superdome (New Orleans),Baltimore,34,31,San Francisco
48,"Feb. 2, 2014","MetLife Stadium (East Rutherford, N.J.)",Seattle,43,8,Denver
49,"Feb. 1, 2015","University of Phoenix Stadium (Glendale, Ariz.)",New England,28,24,Seattle
50,"Feb. 7, 2016","Levi's Stadium (Santa Clara, Calif.)",Denver,24,10,Carolina
51,"Feb. 5, 2017",NRG Stadium (Houston),New England,34,28,Atlanta
52,"Feb. 4, 2018",U.S. Bank Stadium (Minneapolis),Philadelphia,41,33,New England
53,"Feb. 3, 2019",Mercedes-Benz Stadium (Atlanta),New England,13,3,Los Angeles Rams
54,"Feb. 2, 2020",Hard Rock Stadium (Miami),Kansas City,31,20,San Francisco
55,"Feb. 7, 2021","Raymond James Stadium (Tampa, Fla.)",Tampa Bay,31,9,Kansas City
56,"Feb. 13, 2022","SoFi Stadium (Inglewood, Calif.)",Los Angeles Rams,23,20,Cincinnati
